ツモ,対応地形数,使用ミノ,未使用ミノ,テト譜
ITJOZSL,0,,,
JITZLSO,0,,,
ITZLOSJ,0,,,
ITJZOSL,0,,,
JITZLOS,0,,,
ITZLSOJ,0,,,
ITJZSOL,0,,,
JITZOLS,0,,,
ITZLSJO,0,,,
ITJZSLO,0,,,
SOITLZJ,1,TILJSZO,,v115@JhA8IeA8DeB8BeC8AeE8JezGYaAFLDmClcJSAVDEHB?EooRBPoAVBTejWCqOBAAvhFfrBZkB0nB6tBupBFrB
SIJTLOZ,1,TILJSZO,,v115@JhA8IeA8DeB8BeC8AeE8JeFLYaAFLDmClcJSAVDEHB?EooRBUoAVBpyytC6/AAAvhFZkB6tBzlBfsB0nBupB
JITOZLS,0,,,
IJZSTOL,1,TILJSZO,,v115@JhA8IeA8DeB8BeC8AeE8JeFLYaAFLDmClcJSAVDEHB?EooRBUoAVBpyytC6/AAAvhFZkB6tBzlBfsB0nBupB
SJOZITL,2,TILJSZO,,v115@JhA8IeA8DeB8BeC8AeE8JezGYaAFLDmClcJSAVDEHB?EooRBPoAVBTejWCqOBAAvhFfrBZkB0nB6tBupBFrB;v115@JhA8IeA8DeB8BeC8AeE8JezGYaAFLDmClcJSAVDEHB?EooRBPoAVBz33LC0CBAAvhFfrBMpBGtBxsBFrBipB
SOLTIZJ,1,TILJSZO,,v115@JhA8IeA8DeB8BeC8AeE8JezGYaAFLDmClcJSAVDEHB?EooRBPoAVBTejWCqOBAAvhFfrBZkB0nB6tBupBFrB
IZTLSJO,0,,,
TLSJIZO,2,TILJSZO,,v115@JhA8IeA8DeB8BeC8AeE8JeFLYaAFLDmClcJSAVDEHB?EooRBUoAVBpyytC6/AAAvhFZkB6tBzlBfsB0nBupB;v115@JhA8IeA8DeB8BeC8AeE8JefLYaAFLDmClcJSAVDEHB?EooRBToAVBpCmFDKHBAAvhFZkB6tB1sBUmBupBzrB
JIOTZLS,0,,,
