sequence,v115@JhA8IeA8DeB8BeC8AeE8JezGYaAFLDmClcJSAVDEHB?EooRBPoAVBTejWCqOBAAvhFfrBZkB0nB6tBupBFrB,v115@JhA8IeA8DeB8BeC8AeE8JeFLYaAFLDmClcJSAVDEHB?EooRBUoAVBpyytC6/AAAvhFZkB6tBzlBfsB0nBupB,v115@JhA8IeA8DeB8BeC8AeE8JezGYaAFLDmClcJSAVDEHB?EooRBPoAVBz33LC0CBAAvhFfrBMpBGtBxsBFrBipB,v115@JhA8IeA8DeB8BeC8AeE8JefLYaAFLDmClcJSAVDEHB?EooRBToAVBpCmFDKHBAAvhFZkB6tB1sBUmBupBzrB,v115@JhA8IeA8DeB8BeC8AeE8JeFLYaAFLDmClcJSAVDEHB?EooRBUoAVB6vytCpCBAAvhFMpBGtBzlBfsBxsBipB
IOSZJLT,4200,5150,3550,3550,-1
IOSZJTL,4200,4750,3550,3550,-1
IOSZLJT,4200,5150,3650,3550,-1
IOSZLTJ,4200,4750,3650,3550,-1
IOSZTJL,4200,4700,3650,3550,-1
IOSZTLJ,4200,4700,3650,3550,-1
IOSJZLT,4200,5150,3600,3550,-1
IOSJZTL,4200,4750,3650,3550,-1
IOSJLZT,4200,5150,3600,3550,-1
IOSJLTZ,4200,5100,3650,3550,-1
IOSJTZL,4200,4700,3650,3550,-1
IOSJTLZ,4200,4700,3650,3550,-1
IOSLZJT,4200,5150,3550,3550,-1
IOSLZTJ,4200,4750,3550,3550,-1
IOSLJZT,4200,5150,-1,3550,-1
IOSLJTZ,4200,5100,-1,3550,-1
IOSLTZJ,4200,4700,3650,3550,-1
IOSLTJZ,4200,4700,-1,3550,-1
IOSTZJL,4200,4700,3700,3550,-1
IOSTZLJ,4200,4700,3650,3550,-1
IOSTJZL,4200,4700,3650,3550,-1
IOSTJLZ,4200,4700,3650,3550,-1
IOSTLZJ,4200,4700,3650,3550,-1
IOSTLJZ,4200,4700,-1,3550,-1
IOZSJLT,4200,5150,3550,-1,-1
IOZSJTL,4200,4750,3550,-1,-1
IOZSLJT,4200,5150,3650,-1,-1
IOZSLTJ,4200,4750,3650,-1,-1
IOZSTJL,4200,4700,3650,-1,-1
IOZSTLJ,4200,4700,3650,-1,-1
IOZJSLT,4200,5150,3650,-1,-1
IOZJSTL,4200,4750,3600,-1,-1
IOZJLST,4200,5150,3650,-1,-1
IOZJLTS,3650,-1,3650,-1,-1
IOZJTSL,3650,-1,3600,-1,-1
IOZJTLS,3650,-1,3650,-1,-1
IOZLSJT,4200,5150,3700,-1,-1
IOZLSTJ,4200,4750,3650,-1,-1
IOZLJST,4200,5150,3650,-1,-1
IOZLJTS,3650,-1,3650,-1,-1
IOZLTSJ,3650,-1,3650,-1,-1
IOZLTJS,3650,-1,-1,-1,-1
IOZTSJL,3600,-1,3550,-1,-1
IOZTSLJ,3600,-1,3550,-1,-1
IOZTJSL,3650,-1,-1,-1,-1
IOZTJLS,3650,-1,-1,-1,-1
IOZTLSJ,3650,-1,3650,-1,-1
IOZTLJS,3650,-1,-1,-1,-1
IOJSZLT,4200,5150,3650,3550,-1
IOJSZTL,4200,4750,3650,3550,-1
IOJSLZT,4200,5150,3600,3550,-1
IOJSLTZ,4200,5100,3650,3550,-1
IOJSTZL,4200,4700,3650,3550,-1
IOJSTLZ,4200,4700,3650,3550,-1
IOJZSLT,4200,5150,3650,-1,-1
IOJZSTL,4200,4750,3650,-1,-1
IOJZLST,4200,5150,3650,-1,-1
IOJZLTS,3650,-1,3650,-1,-1
IOJZTSL,3650,-1,3600,-1,-1
IOJZTLS,3650,-1,3650,-1,-1
IOJLSZT,4200,5150,3600,3550,-1
IOJLSTZ,4200,5100,3650,3550,-1
IOJLZST,4200,5150,3650,-1,-1
IOJLZTS,3650,-1,3650,-1,-1
IOJLTSZ,3600,3550,-1,3650,-1
IOJLTZS,3650,3550,-1,-1,-1
IOJTSZL,3600,3600,3650,3550,-1
IOJTSLZ,3600,3600,3650,3550,-1
IOJTZSL,3650,3600,3600,-1,-1
IOJTZLS,3650,3550,3650,-1,-1
IOJTLSZ,3600,3600,-1,3650,-1
IOJTLZS,3650,3550,-1,-1,-1
IOLSZJT,4200,5150,3550,3550,-1
IOLSZTJ,4200,4750,3550,3550,-1
IOLSJZT,4200,5150,-1,3550,-1
