ツモ,対応地形数,使用ミノ,未使用ミノ,テト譜
TLSJIZO,4,TILJSZO,,v115@9gwhh0ywBthlwhg0A8Q4wwRpBtglwhg0A8R4RpB8gl?whC8Q4E8JeAgWHAPdNFDs/1BA;v115@9gwhh0RpQ4Bthlwhg0A8RpR4Btglwhg0A8ywQ4B8gl?whC8wwE8JeAgWHAU+LgCz3fBA;v115@9gwhh0BtRpwwhlwhg0A8Q4Btywglwhg0A8R4RpB8gl?whC8Q4E8JeAgWHAT+DxC6vqBA;v115@9gilRpQ4zhglAtA8RpR4i0BtA8ywQ4B8g0AtC8wwE8?JeAgWHA03HgCT+jBA
OZJSITL,4,TILJSZO,,v115@9gwhh0ywBthlwhg0A8Q4wwRpBtglwhg0A8R4RpB8gl?whC8Q4E8JeAgWHAPdNFDs/1BA;v115@9gwhh0RpQ4Bthlwhg0A8RpR4Btglwhg0A8ywQ4B8gl?whC8wwE8JeAgWHAU+LgCz3fBA;v115@9gilywzhglAtA8Q4wwRpi0BtA8R4RpB8g0AtC8Q4E8?JeAgWHAPtzPCpOkBA;v115@9gilRpQ4zhglAtA8RpR4i0BtA8ywQ4B8g0AtC8wwE8?JeAgWHA03HgCT+jBA
SJLITZO,5,TILJSZO,,v115@9gwhh0ywBthlwhg0A8Q4wwRpBtglwhg0A8R4RpB8gl?whC8Q4E8JeAgWHAPdNFDs/1BA;v115@9gwhh0RpQ4Bthlwhg0A8RpR4Btglwhg0A8ywQ4B8gl?whC8wwE8JeAgWHAU+LgCz3fBA;v115@9gwhh0BtRpwwhlwhg0A8Q4Btywglwhg0A8R4RpB8gl?whC8Q4E8JeAgWHAT+DxC6vqBA;v115@9gilywzhglAtA8Q4wwRpi0BtA8R4RpB8g0AtC8Q4E8?JeAgWHAPtzPCpOkBA;v115@9gilRpQ4zhglAtA8RpR4i0BtA8ywQ4B8g0AtC8wwE8?JeAgWHA03HgCT+jBA
IJZSTOL,5,TILJSZO,,v115@9gwhh0ywBthlwhg0A8Q4wwRpBtglwhg0A8R4RpB8gl?whC8Q4E8JeAgWHAPdNFDs/1BA;v115@9gwhh0RpQ4Bthlwhg0A8RpR4Btglwhg0A8ywQ4B8gl?whC8wwE8JeAgWHAU+LgCz3fBA;v115@9gwhh0BtRpwwhlwhg0A8Q4Btywglwhg0A8R4RpB8gl?whC8Q4E8JeAgWHAT+DxC6vqBA;v115@9gilywzhglAtA8Q4wwRpi0BtA8R4RpB8g0AtC8Q4E8?JeAgWHAPtzPCpOkBA;v115@9gilRpQ4zhglAtA8RpR4i0BtA8ywQ4B8g0AtC8wwE8?JeAgWHA03HgCT+jBA
JITZLSO,5,TILJSZO,,v115@9gwhh0ywBthlwhg0A8Q4wwRpBtglwhg0A8R4RpB8gl?whC8Q4E8JeAgWHAPdNFDs/1BA;v115@9gwhh0RpQ4Bthlwhg0A8RpR4Btglwhg0A8ywQ4B8gl?whC8wwE8JeAgWHAU+LgCz3fBA;v115@9gwhh0BtRpwwhlwhg0A8Q4Btywglwhg0A8R4RpB8gl?whC8Q4E8JeAgWHAT+DxC6vqBA;v115@9gilywzhglAtA8Q4wwRpi0BtA8R4RpB8g0AtC8Q4E8?JeAgWHAPtzPCpOkBA;v115@9gilRpQ4zhglAtA8RpR4i0BtA8ywQ4B8g0AtC8wwE8?JeAgWHA03HgCT+jBA
SOITLZJ,5,TILJSZO,,v115@9gwhh0ywBthlwhg0A8Q4wwRpBtglwhg0A8R4RpB8gl?whC8Q4E8JeAgWHAPdNFDs/1BA;v115@9gwhh0RpQ4Bthlwhg0A8RpR4Btglwhg0A8ywQ4B8gl?whC8wwE8JeAgWHAU+LgCz3fBA;v115@9gwhh0BtRpwwhlwhg0A8Q4Btywglwhg0A8R4RpB8gl?whC8Q4E8JeAgWHAT+DxC6vqBA;v115@9gilywzhglAtA8Q4wwRpi0BtA8R4RpB8g0AtC8Q4E8?JeAgWHAPtzPCpOkBA;v115@9gilRpQ4zhglAtA8RpR4i0BtA8ywQ4B8g0AtC8wwE8?JeAgWHA03HgCT+jBA
TISZJOL,4,TILJSZO,,v115@9gwhh0ywBthlwhg0A8Q4wwRpBtglwhg0A8R4RpB8gl?whC8Q4E8JeAgWHAPdNFDs/1BA;v115@9gwhh0RpQ4Bthlwhg0A8RpR4Btglwhg0A8ywQ4B8gl?whC8wwE8JeAgWHAU+LgCz3fBA;v115@9gwhh0BtRpwwhlwhg0A8Q4Btywglwhg0A8R4RpB8gl?whC8Q4E8JeAgWHAT+DxC6vqBA;v115@9gilRpQ4zhglAtA8RpR4i0BtA8ywQ4B8g0AtC8wwE8?JeAgWHA03HgCT+jBA
SOLTIZJ,4,TILJSZO,,v115@9gwhh0ywBthlwhg0A8Q4wwRpBtglwhg0A8R4RpB8gl?whC8Q4E8JeAgWHAPdNFDs/1BA;v115@9gwhh0RpQ4Bthlwhg0A8RpR4Btglwhg0A8ywQ4B8gl?whC8wwE8JeAgWHAU+LgCz3fBA;v115@9gwhh0BtRpwwhlwhg0A8Q4Btywglwhg0A8R4RpB8gl?whC8Q4E8JeAgWHAT+DxC6vqBA;v115@9gilywzhglAtA8Q4wwRpi0BtA8R4RpB8g0AtC8Q4E8?JeAgWHAPtzPCpOkBA
ILJZOST,2,TILJSZO,,v115@9gwhh0ywBthlwhg0A8Q4wwRpBtglwhg0A8R4RpB8gl?whC8Q4E8JeAgWHAPdNFDs/1BA;v115@9gwhh0RpQ4Bthlwhg0A8RpR4Btglwhg0A8ywQ4B8gl?whC8wwE8JeAgWHAU+LgCz3fBA
ITJOZSL,3,TILJSZO,,v115@9gwhh0ywBthlwhg0A8Q4wwRpBtglwhg0A8R4RpB8gl?whC8Q4E8JeAgWHAPdNFDs/1BA;v115@9gwhh0RpQ4Bthlwhg0A8RpR4Btglwhg0A8ywQ4B8gl?whC8wwE8JeAgWHAU+LgCz3fBA;v115@9gilRpQ4zhglAtA8RpR4i0BtA8ywQ4B8g0AtC8wwE8?JeAgWHA03HgCT+jBA
